id|state|city|zip|primary|something|county|area code
767|MI|Atlanta|49709|1|42|Montmorency|989
768|MI|Barbeau|49710|1|42|Chippewa|906
769|MI|Boyne City|49712|1|42|Charlevoix|231
770|MI|Boyne Falls|49713|1|42|Charlevoix|231
771|MI|Brimley|49715|1|42|Chippewa|906
772|MI|Brutus|49716|1|42|Emmet|231
773|MI|Carp Lake|49718|1|42|Emmet|231
774|MI|Cedarville|49719|1|42|Mackinac|906
775|MI|Charlevoix|49720|1|42|Charlevoix|231
776|MI|Cheboygan|49721|1|42|Cheboygan|231
777|MI|Dafter|49724|1|42|Chippewa|906
778|MI|De Tour Village|49725|1|42|Chippewa|906
779|MI|Drummond Island|49726|1|42|Chippewa|906
780|MI|East Jordan|49727|1|42|Charlevoix|231
781|MI|Eckerman|49728|1|42|Chippewa|906
782|MI|Ellsworth|49729|1|42|Antrim|231
783|MI|Elmira|49730|1|42|Otsego|231
784|MI|Frederic|49733|1|42|Crawford|989
